pH,prediction
585.0,-0.21200053419177617
587.3061224489796,-0.21205145306539075
589.6122448979592,-0.21269814467562942
591.9183673469388,-0.21140222230090047
594.2244897959183,-0.22228743200605502
596.530612244898,-0.22341313657452214
598.8367346938776,-0.23898580266079875
601.1428571428571,-0.237905203907923
603.4489795918367,-0.22905699769035545
605.7551020408164,-0.22129048619885325
608.0612244897959,-0.23228317952276545
610.3673469387755,-0.22847064575189316
612.6734693877551,-0.25649557766068865
614.9795918367347,-0.24946767758352384
617.2857142857143,-0.2483309757280862
619.5918367346939,-0.23696656355531906
621.8979591836735,-0.21903826716579744
624.204081632653,-0.21515952463356014
626.5102040816327,-0.2354133342486167
628.8163265306123,-0.07786006826299871
631.1224489795918,-0.07857078866259763
633.4285714285714,-0.07725881924162172
635.7346938775511,-0.0768332679932115
638.0408163265306,-0.0766259131305917
640.3469387755102,-0.07820353527921178
642.6530612244898,-0.07648239716197844
644.9591836734694,-0.0762710104204478
647.265306122449,-0.07267559133357232
649.5714285714286,-0.07244248694071356
651.8775510204082,-0.0714670596121031
654.1836734693877,-0.07235865188800632
656.4897959183673,-0.07184579906173408
658.795918367347,-0.07411727968516021
661.1020408163265,-0.06550796682852456
663.4081632653061,-0.06048529802746496
665.7142857142858,-0.060209746939920365
668.0204081632653,-0.058618846645516524
670.3265306122449,-0.0789896845265509
672.6326530612245,-0.08327043884520575
674.9387755102041,-0.0844420231969598
677.2448979591836,-0.08312005481185365
679.5510204081633,-0.0866891018978493
681.8571428571429,-0.08682774055276889
684.1632653061224,-0.0918873512748731
686.469387755102,-0.09353404386318181
688.7755102040817,-0.10483371749910972
691.0816326530612,-0.09917385174885168
693.3877551020408,-0.09894327657309393
695.6938775510205,-0.10102250343496813
698.0,-0.10531059932637975
