sand__total,prediction
44.0,-0.14234619327202874
45.0,-0.14125508845812806
46.0,-0.14091279179109292
47.0,-0.14213529389562252
48.0,-0.14003352834314858
49.0,-0.14002579478214633
50.0,-0.13993854940882136
51.0,-0.139766011184082
52.0,-0.1402181235923837
53.0,-0.14021468599445436
54.0,-0.13084061355942614
55.0,-0.13362349582039437
56.0,-0.13396651625003653
57.0,-0.1341910977113504
58.0,-0.1374844022816643
59.0,-0.14156173350696935
60.0,-0.1421695731828291
61.0,-0.14471679555560663
62.0,-0.14458900631202334
63.0,-0.1327635063525828
64.0,-0.1327211644191657
65.0,-0.13288400688953314
66.0,-0.13287809157831615
