soil__saturated_hydraulic_conductivity,prediction
2.8184139728546143,-0.15396193434630517
2.8708875380730143,-0.15398560401130923
2.923361103291414,-0.15266369752777342
2.975834668509814,-0.15608732124182736
3.028308233728214,-0.16089367674346122
3.080781798946614,-0.16406692074629353
3.133255364165014,-0.1687497702706934
3.185728929383414,-0.17024403457247483
3.238202494601814,-0.17124136133975157
3.290676059820214,-0.1716981090933579
3.3431496250386137,-0.16941554214599133
3.3956231902570138,-0.1638338766460314
3.4480967554754134,-0.1615078138048211
3.5005703206938135,-0.1588631513728105
3.5530438859122135,-0.16040686399830076
3.6055174511306136,-0.15642203113358347
3.6579910163490137,-0.14536337782940198
3.7104645815674133,-0.14077103566094273
3.7629381467858134,-0.14781455675124686
3.8154117120042135,-0.14565240659578074
3.867885277222613,-0.14846171147666548
3.920358842441013,-0.14535804906644093
3.9728324076594133,-0.14326120064442735
4.025305972877813,-0.14728067049506396
4.0777795380962125,-0.1523252739567536
4.1302531033146135,-0.15104298026185461
4.182726668533013,-0.14979991823774377
4.235200233751413,-0.15452670788573614
4.287673798969813,-0.1539397314957513
4.340147364188213,-0.15411173888679305
4.392620929406613,-0.1567012898556307
4.445094494625013,-0.15831097503075472
4.497568059843413,-0.15752843899567492
4.550041625061812,-0.1575359292668736
4.602515190280212,-0.15999906381894707
4.6549887554986125,-0.16319727078502977
4.7074623207170125,-0.17224384137570825
4.759935885935413,-0.17323104330025724
4.812409451153813,-0.17548806550521673
4.864883016372213,-0.17596328176081735
4.917356581590612,-0.17680950976729717
4.969830146809012,-0.17769806089632356
5.022303712027412,-0.18404536661242238
5.074777277245812,-0.18341974668530336
5.127250842464212,-0.18524700402504754
5.179724407682611,-0.18538222961794762
5.232197972901012,-0.18564590271622655
5.284671538119412,-0.185701242183366
5.337145103337812,-0.1860420219041803
5.389618668556212,-0.18596139072843135
