soil__thickness,prediction
17.0,-0.15552599705014372
20.306122448979593,-0.1549916511076126
23.612244897959183,-0.149604367426261
26.918367346938776,-0.13398336650764037
30.224489795918366,-0.13902881606446557
33.53061224489796,-0.149978219714216
36.83673469387755,-0.15848633711506485
40.14285714285714,-0.15794662911138202
43.44897959183673,-0.17717999384407526
46.755102040816325,-0.18487190672207712
50.06122448979592,-0.19457681551530565
53.36734693877551,-0.20205344476271092
56.673469387755105,-0.29480188040500466
59.9795918367347,-0.30736864038786377
63.285714285714285,-0.30469457158209967
66.59183673469389,-0.30119422226034664
69.89795918367346,-0.2937016327787718
73.20408163265307,-0.29467579269841526
76.51020408163265,-0.2959213466512705
79.81632653061224,-0.2998083454930522
83.12244897959184,-0.29783090590086386
86.42857142857143,-0.29664756708634027
89.73469387755102,-0.29493455091914017
93.04081632653062,-0.294721918269649
96.34693877551021,-0.2956814660408331
99.6530612244898,-0.29340045864010944
102.9591836734694,-0.29378173739569224
106.26530612244898,-0.29413994046983294
109.57142857142857,-0.29555597576069925
112.87755102040816,-0.29583673517436865
116.18367346938776,-0.2943898072368994
119.48979591836735,-0.2935150235002669
122.79591836734694,-0.2928213343672982
126.10204081632654,-0.293313434865232
129.40816326530614,-0.2923180719022962
132.71428571428572,-0.2919871180496215
136.0204081632653,-0.29207318664844595
139.3265306122449,-0.2920378516002724
142.6326530612245,-0.2945442711273266
145.9387755102041,-0.2958532046718932
149.24489795918367,-0.29614244297439074
152.55102040816328,-0.2946277811106867
155.85714285714286,-0.29495723181964023
159.16326530612244,-0.2904176425442055
162.46938775510205,-0.2658679899501225
165.77551020408163,-0.26200755479609794
169.08163265306123,-0.2620574082135536
172.3877551020408,-0.26370164420558073
175.69387755102042,-0.2625475034164917
179.0,-0.26256855746919083
