soil__transmissivity,prediction
0.6164600330591201,-0.15989740975350414
0.7875956813656554,-0.14939098793154232
0.9587313296721907,-0.1431314636858302
1.1298669779787258,-0.15200687202157356
1.301002626285261,-0.14436652727072266
1.4721382745917964,-0.13326278605343028
1.6432739228983315,-0.13064014507164987
1.814409571204867,-0.1411099618860162
1.985545219511402,-0.1526580341993544
2.156680867817937,-0.16070320523977058
2.3278165161244724,-0.1716119261781445
2.4989521644310075,-0.175951529555394
2.6700878127375427,-0.17770368033936818
2.841223461044078,-0.184215793662314
3.012359109350614,-0.18337577572216546
3.183494757657149,-0.18313494941914388
3.3546304059636842,-0.1822277489986804
3.5257660542702194,-0.1819328482499106
3.6969017025767545,-0.18365264462009936
3.8680373508832897,-0.1822327606318795
4.039172999189825,-0.18301556345531989
4.21030864749636,-0.1834903058913139
4.381444295802895,-0.18374275506409912
4.55257994410943,-0.18312083427259118
4.7237155924159655,-0.18297210983760434
4.894851240722501,-0.18272042691444623
5.065986889029036,-0.18226447463878295
5.237122537335572,-0.18181230361773393
5.408258185642107,-0.18132202846030304
5.579393833948642,-0.1803596704028019
5.750529482255177,-0.18028797927602175
5.9216651305617125,-0.17999595710435098
6.092800778868248,-0.1809217790152557
6.263936427174783,-0.18083631273757583
6.435072075481318,-0.18151957008064165
6.606207723787853,-0.18105765780876953
6.777343372094388,-0.18239898306023394
6.9484790204009235,-0.18664167986333388
7.1196146687074595,-0.1874277890047936
7.290750317013995,-0.18754385139942328
7.46188596532053,-0.1879091396586309
7.633021613627065,-0.18876722643411406
7.8041572619336,-0.18883221664613659
7.975292910240135,-0.18902665847022976
8.14642855854667,-0.18891952881307952
8.317564206853206,-0.18933414682613517
8.48869985515974,-0.18937752873028962
8.659835503466276,-0.1894044452146095
8.830971151772811,-0.1895048277408969
9.002106800079346,-0.18961184723294242
